"datasetid","sitename","lat","lon","lag","region","total_bc"
53997,"Fårarps Mosse",55.48833,13.90889,-4769.5,"Scandinavia",0.6482
45639,"Gammelheimenvatnet",68.48221,17.75935,-4911,"Scandinavia",0.2951
53991,"Gilltjärnen",60.08333,15.83333,-1104.579,"Scandinavia",0.1586
22815,"Godziszewskie Lake",54.07823,18.53853,-1132,"Scandinavia",0.3241
977,"Grasvatn",NA,NA,423,"Scandinavia",0.2688
45728,"Grauthelleren",58.14445,7.91361,-2612,"Scandinavia",0.2054
49430,"Groter Warder",54.17131,10.41846,-3493.55,"Scandinavia",0.7049
49434,"Großer Eutiner See",54.14263,10.63284,-4529,"Scandinavia",0.4977
49457,"Großer Plöner See",54.15722,10.42333,-3752,"Scandinavia",0.4064
45698,"Haugtjernet",NA,NA,-4156,"Scandinavia",0.247
55439,"Hino",57.58306,27.23861,125,"Scandinavia",0.4116
4092,"Hirvilampi",60.62404,24.25122,-4922,"Scandinavia",0.2126
45716,"Holebudalen",NA,NA,332,"Scandinavia",0.2886
21790,"Holtjärnen",NA,NA,-5422,"Scandinavia",0.1904
45731,"Isbenttjønn",NA,NA,991,"Scandinavia",0.1619
22857,"Jezioro Druzno",NA,NA,-2488,"Scandinavia",0.6215
22950,"Jezioro Druzno",NA,NA,-5627,"Scandinavia",0.5121
4133,"Kaarkotinlampi",61.41513,25.86881,-5796,"Scandinavia",0.2473
1434,"Kalsa Mire",58.19142,27.41146,-2604,"Scandinavia",0.4115
4136,"Kangerjoki",66.12667,28.99524,-751,"Scandinavia",0.3777
1438,"Kansjön",57.64055,14.53458,-3554,"Scandinavia",0.2528
45701,"Kinnshaugen",NA,NA,-549,"Scandinavia",0.2828
19909,"Klotjärnen",61.82125,16.40472,-5293,"Scandinavia",0.3289
4154,"Kluki",54.70694,17.28472,-3561,"Scandinavia",0.5676
4154,"Kluki",54.70694,17.28472,-3561,"Scandinavia",0.400687309948118
58000,"Kokorevskoe",57.1984,30.60556,-450,"Scandinavia",0.5523
59895,"Kosilovo",56.72073,31.55124,-4717,"Scandinavia",0.4592
4162,"Krageholmssjön",55.50078,13.74492,774,"Scandinavia",0.3153
23013,"Krageholmssjön",55.50078,13.74492,453,"Scandinavia",0.3179
4168,"Kuivajarvi",60.78455,23.85616,-1958,"Scandinavia",0.2081
54692,"Kunda Arusoo",59.46667,26.52194,-143,"Scandinavia",0.6965
52082,"Laihalampi",61.48833,26.08083,584.629,"Scandinavia",0.1957
46516,"Lake Babinskoye",59.61457,28.61129,441,"Scandinavia",0.2369
4031,"Lake Ermistu",58.36667,23.96667,634,"Scandinavia",0.2183
4042,"Lake Flarken",58.55679,13.67319,-2692,"Scandinavia",0.2019
20018,"Lake Flåfattjønna",NA,NA,-5356,"Scandinavia",0.3226
20029,"Lake Hopseidet",70.83333,27.71667,-809,"Scandinavia",0.2831
20020,"Lake Ifjord",70.43333,27.63333,968,"Scandinavia",0.2162
45410,"Lake Jarveotsa",59.03333,24.28333,-1045,"Scandinavia",0.2436
45407,"Lake Konsu",59.22139,27.58056,-5737,"Scandinavia",0.4297
49642,"Lake Kuzi",NA,NA,-3815.238,"Scandinavia",0.4029
45381,"Lake Maardu",59.43333,25,-2761,"Scandinavia",0.3122
45408,"Lake Martiska",59.15861,27.6975,-5523,"Scandinavia",0.3321
45398,"Lake Plaani Külajärv",57.675,27.075,-4160,"Scandinavia",0.2612
